Location,Date,Temperature,Humidity,Wind_Speed,CO2_Ambient_Level
Nabeul,7/19/2024,33.4,91,0.8,489.45
Sousse,12/3/2024,28.8,87,2.8,495.35
Nabeul,12/1/2024,38.6,23,2,360.06
Nabeul,11/8/2024,43.3,66,11.5,475.16
Nabeul,12/31/2024,34,75,1.6,480.87
Sousse,10/13/2024,15.8,45,6.3,465.36
Gabès,10/26/2024,24.4,52,12.2,447.59
Gabès,4/29/2024,39.7,94,9.5,373.98
Nabeul,8/4/2024,19.2,95,17.6,357.34
Gabès,6/8/2024,16.3,76,6.7,469.65
Sfax,4/19/2024,21.9,48,12.1,387.13
Nabeul,4/28/2024,12.5,84,9.2,450.46
Nabeul,5/19/2024,15.7,94,3.5,368.93
Sfax,1/26/2024,24.4,77,17.6,477.74
Sfax,9/30/2024,11.6,29,9.1,370.93
Nabeul,8/21/2024,vignt,96,3.4,390330
Sfax,7/13/2024,13.5,53,13.1,481.98
Nabeul,8/7/2024,13.8,37,16,408.54
Tunis,7/3/2024,43.2,42,19.4,432.57
Sfax,6/12/2024,16.8,,13.8,389.76
Nabeul,6/19/2024,35.8,87,2.2,471.87
Gabès,9/25/2024,13.8,57,16.5,494.73
Tunis,1/7/2025,30.3,73,12.8,377.77
Nabeul,6/26/2024,45,95,1,496.26
Tunis,5/19/2024,vignt,29,4.7,395.07
Tunis,12/20/2024,44.2,55,4.7,460.88
Tunis,10/20/2024,37.6,51,0.5,473.57
Sousse,12/30/2024,11.8,85,13.7,475.57
Nabeul,6/9/2024,16.9,97,10.7,358.71
Gabès,2/13/2024,41.1,22,17.2,497.68
Nabeul,4/23/2024,29,71,4.7,407.56
Tunis,10/5/2024,1056,,2.4,369.23
Gabès,8/7/2024,43.6,52,13.8,464.06
Sousse,5/7/2024,26.1,74,13.5,393
Nabeul,8/7/2024,22.5,67,15.8,391.05
Sousse,6/6/2024,19.4,76,5.6,431.02
Nabeul,4/15/2024,28.2,43,19.3,455.63
Gabès,12/3/2024,22.5,94,7.1,480.85
Nabeul,8/8/2024,14,63,1.9,400.46
Gabès,2/5/2024,24.4,52,5.7,441
Nabeul,5/14/2024,35.7,39,19.1,452.79
Sfax,8/4/2024,vignt,99,17.2,379.7
Sfax,5/14/2024,698,,0.9,378.34
Nabeul,7/24/2024,35.9,94,11.8,370
Nabeul,5/5/2024,26.9,,16.7,456750
Nabeul,1/28/2024,40.5,72,15.9,400.13
Sousse,5/22/2024,40.6,85,13.9,371.97
Nabeul,7/9/2024,33.5,,15,439.92
Nabeul,11/2/2024,24.6,87,4.6,407.01
Nabeul,11/8/2024,29,31,12.6,417.95
Nabeul,1/23/2024,20.5,90,6.3,463.91
Gabès,1/29/2024,32.8,82,9.5,381.61
Tunis,10/21/2024,15.8,90,3.2,359.38
Tunis,11/19/2024,12.8,62,11.3,380.48
Nabeul,5/12/2024,41.3,23,12,456.66
Gabès,12/25/2024,21.1,62,7.1,391.33
Nabeul,2/2/2024,1323,,12.5,475.77
Gabès,1/11/2025,11.7,70,10,351.34
Tunis,1/3/2025,31.5,63,6.6,451.55
Nabeul,7/9/2024,34.9,67,4.3,472.55
Gabès,10/7/2024,35.6,,1.5,393.7
Gabès,1/28/2024,28.9,80,10,481.9
Gabès,5/18/2024,44.5,55,9.1,479.82
Sfax,9/9/2024,18.3,94,13.1,463.94
Sousse,10/4/2024,39.2,82,19.7,469.84
Sfax,4/18/2024,31.9,42,11.4,430.74
Nabeul,9/11/2024,27.4,56,6.5,484
Nabeul,6/28/2024,39.3,66,1.4,389.81
Sfax,11/8/2024,25.2,58,1.7,490.32
Gabès,2/25/2024,358.8,73,1.2,487.39
Sfax,11/22/2024,17.5,51,9.2,373.05
Tunis,1/4/2025,35.7,92,1,414.1
Nabeul,5/25/2024,18.5,60,6.9,368.03
Sousse,9/1/2024,1003.2,99,8.2,462.79
Nabeul,9/28/2024,35.6,70,2,415.55
Tunis,12/9/2024,32.1,47,13.4,365.9
Tunis,2/22/2024,20.9,53,10.7,439.52
Nabeul,8/26/2024,32.1,47,3.2,451.06
Nabeul,10/1/2024,36.7,53,14,398.69
Tunis,12/28/2024,32.2,40,2,464.62
Sousse,2/16/2024,29.6,28,4.5,497.26
Sousse,3/3/2024,44.7,66,11.4,439.84
Gabès,4/20/2024,33,42,5,458.24
