Numéro,Date,Fournisseur,Email,Client,Total
326502,26/03/2024,PureBio SARL Email,info@purebiosarl.org,dataMasters Article Quantit,8471
2,8/9/2024,Organic Source Ltd,info@organicsourceltd.org,dataMasters Article Quantit,18602
3,24/07/2024,Aliments Biologiques SARL Email,info@alimentsbiologiquessarl.org,dataMasters Article Quantit,7463
4,4/12/2024,Solutions Eco Tunisie Email,info@solutionsecotunisie.com,dataMasters Article Quantit,7193
5,17/10/2024,Innovations Eco Intl Email,info@innovationsecointl.com,dataMasters Article Quantit,6975
6,23/09/2024,D,,dataMasters Article Quantit,5519
117262,16/09/2024,Racines Vertes SARL Email,info@racinesvertessarl.com,dataMasters Article Quantit,8815
8,10/11/2024,Vie Verte SARL Email,info@vievertesarl.tn,dataMasters Article Quantit,4418
9,5/6/2024,Solutions Eco Tunisie Email,info@solutionsecotunisie.com,dataMasters Article Quantit,17941
10,5/7/2024,BioSustain Logistics Email,info@biosustainlogistics.org,dataMasters Article Quantit,4642
11,17/06/2024,Sucre,info@sucreco.tn,dataMasters Article Quantit,11674
12,3/1/2024,PureBio SARL Email,info@purebiosarl.org,dataMasters Article Quantit,10150
13,18/09/2024,Fournitures Agricoles Eco Email,info@fournituresagricoleseco.org,dataMasters Article Quantit,6815
14,9/12/2024,D,,dataMasters Article Quantit,3795
15,18/10/2024,Fournitures Eco Tunisie Email,,dataMasters Article Quantit,10920
16,1/1/2024,Colorants Naturels Email,,dataMasters Article Quantit,620
17,21/10/2024,Commerce Nature Premier Email,info@commercenaturepremier.com,dataMasters Article Quantit,3602
18,24/04/2024,Source Biologique SARL Email,info@sourcebiologiquesarl.com,dataMasters Article Quantit,2182
19,30/11/2024,Fournitures Terre Propre Email,,dataMasters Article Quantit,11351
20,24/10/2024,Fournitures Eco Tunisie Email,,dataMasters Article Quantit,5393
21,13/12/2024,BioSustain Logistics Email,info@biosustainlogistics.org,dataMasters Article Quantit,5891
22,31/11/2024,Aliments Biologiques SARL Email,info@alimentsbiologiquessarl.org,dataMasters Article Quantit,9926
23,12/8/2024,Fournitures Eco Tunisie Email,,dataMasters Article Quantit,5592
24,25/09/2024,AgroGreen Tunisia Email,info@agrogreentunisia.com,dataMasters Article Quantit,17926
25,27/11/2024,Commerce Nature Premier Email,info@commercenaturepremier.com,dataMasters Article Quantit,15912
26,16/02/2024,Fournitures Terre Propre Email,,dataMasters Article Quantit,7890
27,28/11/2024,PureBio SARL Email,info@purebiosarl.org,dataMasters Article Quantit,6504
28,31/08/2024,Agro,,dataMasters Article Quantit,21472
29,5/8/2024,Fermes du Futur Intl,info@fermesdufuturintl.com,dataMasters Article Quantit,11457
30,19/11/2024,Organic Source Ltd,info@organicsourceltd.org,dataMasters Article Quantit,13189
31,16/05/2024,Commerce Nature Premier Email,info@commercenaturepremier.com,dataMasters Article Quantit,13575
32,3/11/2024,Solutions Eco Tunisie Email,info@solutionsecotunisie.com,dataMasters Article Quantit,7400
33,13/06/2024,Vie Verte SARL Email,info@vievertesarl.tn,dataMasters Article Quantit,17033
34,31/01/2024,Fournitures Terre Propre Email,,dataMasters Article Quantit,14053
35,30/01/2024,Logistique Eco Intl,info@logistiqueecointl.com,dataMasters Article Quantit,8094
36,6/5/2024,Partenaires EcoCommerce Email,,dataMasters Article Quantit,11429
37,29/08/2024,Distributeurs R,,dataMasters Article Quantit,15550
38,4/12/2024,Innovations Eco Intl Email,info@innovationsecointl.com,dataMasters Article Quantit,4884
39,3/5/2024,Distributeurs GreenTech Email,,dataMasters Article Quantit,8925
40,11/5/2024,Solutions Agro Renouvelables Email,info@solutionsagrorenouvelables.org,dataMasters Article Quantit,5133
41,6/5/2024,Import,contact@importnaturel.com,dataMasters Article Quantit,6919
42,13/10/2024,,,dataMasters Article Quantit,7661
43,22/11/2024,Fournitures Eco Tunisie Email,,dataMasters Article Quantit,16874
44,5/2/2024,Racines Vertes SARL Email,info@racinesvertessarl.com,dataMasters Article Quantit,8571
45,11/9/2024,Commerce Naturellement Bio Email,,dataMasters Article Quantit,16866
46,23/01/2024,Logistique Eco Intl,info@logistiqueecointl.com,dataMasters Article Quantit,3711
47,16/08/2024,D,,dataMasters Article Quantit,5879
48,21/03/2024,Solutions Eco Tunisie Email,info@solutionsecotunisie.com,dataMasters Article Quantit,6048
49,2/12/2024,Commerce Nature Premier Email,info@commercenaturepremier.com,dataMasters Article Quantit,21816
50,11/1/2024,Source Durable Tunisie Email,info@sourcedurabletunisie.com,dataMasters Article Quantit,4029
51,20/12/2024,Fruits Frais et Saveurs Email,info@fruitsfraisetsaveurs.org,dataMasters Article Quantit,15834
52,7/1/2024,Solutions Eco Tunisie Email,info@solutionsecotunisie.com,dataMasters Article Quantit,21117
53,9/10/2024,Future Foods Tunisia Email,info@futurefoodstunisia.tn,dataMasters Article Quantit,8789
54,23/10/2024,Sustainable Produce Intl,,dataMasters Article Quantit,12564
55,2/11/2024,Partenaires EcoCommerce Email,,dataMasters Article Quantit,3280
56,13/06/2024,Source Biologique SARL Email,info@sourcebiologiquesarl.com,dataMasters Article Quantit,12585
57,20/02/2024,Racines Vertes SARL Email,info@racinesvertessarl.com,dataMasters Article Quantit,9488
58,26/09/2024,PureBio SARL Email,info@purebiosarl.org,dataMasters Article Quantit,13684
59,19/12/2024,GreenWay Supplies Email,info@greenwaysupplies.org,dataMasters Article Quantit,8295
60,10/7/2024,Solutions Eco Tunisie Email,info@solutionsecotunisie.com,dataMasters Article Quantit,10611
