Supplier_ID;Supplier_Name;Phone_Number;Contact_Email;Location;Environmental_Certifications;Transport_Type;Renewable_Energy_Percentage;Sustainability_Program
SUPPLIER_1;Laiterie Centrale;+216 71 25 2525;contact@laiteriecentrale.com;Tunis;Agriculture Biologique;Unknown;32.08545428;Oui
SUPPLIER_2;Agro-Alimentaire Tunisie;+216 71;info@agroalimentaire.tn;Sfax;Aucune;Unknown;59.60501158;Non
SUPPLIER_3;Import-Export Naturel;+216 71 000 600;contact@importnaturel.com;Sfax;ISO 14001;Unknown;99.57344521;Non
SUPPLIER_4;Qualité Fraîcheur;+216 71 44 000;contactqualitefraicheurtn;Tunis;Aucune;Unknown;43.52622797;Non
SUPPLIER_5;Fruits et Saveurs;+216 71 00 522;service@fruitsetsaveurs.com;Gabès;Aucune;Unknown;92.06914008;Oui
SUPPLIER_6;Produits Bio Tunisie;+216 71 030 300;contact@bio-produits.tn;Tunis;Agriculture Biologique;Unknown;34.50168399;Oui
SUPPLIER_7;Sucre & Co;+216 71 652900;info@sucreco.tn;Nabeul;Agriculture Biologique;Unknown;5.473270693;Oui
SUPPLIER_8;Arômes et Essences;+216 71 10 040;servicearomesessences.tn;Nabeul;ISO 14001;Unknown;20.42421064;Non
SUPPLIER_9;Choco-Delice;+216 71 654852;info@chocodelice.com;Sfax;Aucune;Unknown;41.86951433;Non
SUPPLIER_10;Colorants Naturels;+216 71 0517;contact@colorantsnaturelstn;Gabès;Aucune;Unknown;21.96349286;Oui
SUPPLIER_11;Fournitures Eco Tunisie;+216 71 584 503;info@fournituresecotunisie.tn;Sousse;ISO 14001;Ferroviaire;9.17;Oui
SUPPLIER_12;Partenaires EcoCommerce;+216 71 994 820;info@partenairesecocommerce.tn;Nabeul;ISO 14001;Multimodal;15.33;Oui
SUPPLIER_13;NaturalField Distributors;+216 71 592 641;info@naturalfielddistributors.org;Nabeul;ISO 14001;Ferroviaire;33.45;Non
SUPPLIER_14;BioHarvest Distributors;+216 71 242 649;info@bioharvestdistributors.com;Sfax;Agriculture Biologique;Aérien;76.95;Oui
SUPPLIER_15;Fournitures BioFrais SARL;+216 71 870 285;info@fournituresbiofraissarl.com;Sfax;Agriculture Biologique;Unknown;3.02;Oui
