Material_ID,Unit_Price,Stock_Levels,Lead_Time,Reorder_Point,Safety_Stock,Arrival Date,Ordering_Costs,Holding_Costs,Seasonality,Historical_Sales_Data,Supplier_ID
M062,122.31,968,8,178,73,10/30/2023,1260,3040,Low,7751,SUPPLIER_10
M249,357.78,747,10,192,41,9/10/2023,900,4760,High,5571,SUPPLIER_18
M131,,948,14,43,37,10/22/2023,1550,1700,Medium,2920,SUPPLIER_31
M132,470.11,493,13,174,75,9/30/2023,1750,2660,High,3243,SUPPLIER_18
M120,63.05,310,13,26,69,10/27/2023,1610,1740,Low,1684,SUPPLIER_8
M095,237.8,22,7,102,57,10/20/2023,1600,3440,High,1473,SUPPLIER_26
,138.82,53,15,126,43,2023-o,1660,3430,High,4024,SUPPLIER_16
M343,188.76,444,14,21,55,9/4/2023,850,3580,High,3750,SUPPLIER_79
M275,289.06,565,4,165,53,10/14/2023,1790,4440,Low,7355,SUPPLIER_20
,,816,3,66,36,10/3/2023,1620,3590,High,4801,SUPPLIER_66
,,392,14,175,59,2023-g,2000,1440,Medium,6198,SUPPLIER_40
M350,454.48,226,8,116,100,10/2/2023,360,1910,Medium,2723,SUPPLIER_83
M259,156.32,148,5,52,12,9/25/2023,1860,4580,High,8369,SUPPLIER_63
,,724,9,64,8,9/30/2023,1130,1880,Low,6182,SUPPLIER_25
,,56,6,134,89,2023-m,430,3250,Low,8836,SUPPLIER_81
M248,246.04,633,7,128,98,9/14/2023,1020,2860,Medium,9725,SUPPLIER_21
,,347,14,95,75,,1030,3560,Low,2147,
M348,338.63,422,4,49,47,9/7/2023,1500,2070,Medium,7722,SUPPLIER_22
M155,440.98,457,15,66,70,9/8/2023,430,4170,Low,1860,SUPPLIER_75
M187,265.6,833,8,121,57,10/23/2023,1510,3470,Low,7271,SUPPLIER_13
M158,465.97,640,11,141,60,9/8/2023,810,3340,Low,9909,SUPPLIER_33
M4h,347.45,57,10,131,57,,1610,750,High,7202,SUPPLIER_61
M181,499.49,776,8,33,73,10/17/2023,840,4840,Medium,6861,SUPPLIER_44
M495,184.28,605,12,64,19,10/11/2023,1500,4670,Medium,9938,SUPPLIER_31
M041,327.66,663,14,23,41,10/8/2023,1890,1940,Medium,1409,SUPPLIER_21
M163,350.39,720,13,25,95,9/3/2023,1020,1970,High,6579,SUPPLIER_9
M288,315.1,799,11,168,42,10/17/2023,390,2820,Low,1522,SUPPLIER_6
M166,186.26,271,14,66,72,10/24/2023,1210,4720,Low,3737,SUPPLIER_65
M020,438.31,422,8,28,89,10/8/2023,1290,4000,High,5629,SUPPLIER_47
M188,153.31,572,12,189,82,10/18/2023,200,870,Low,3450,SUPPLIER_69
M007,222.99,499,13,137,57,9/16/2023,1250,2770,Low,5761,SUPPLIER_60
M332,147.64,318,14,69,54,9/14/2023,1040,2720,Medium,8988,SUPPLIER_44
,359.15,135,13,59,8,10/22/2023,1550,1210,Medium,5446,
M144,436.68,111,9,145,65,10/23/2023,900,4940,Low,8172,SUPPLIER_55
M131,145.03,153,3,127,93,9/21/2023,930,1250,Low,4046,SUPPLIER_66
M415,252.55,612,3,185,93,9/16/2023,310,2170,Low,2230,SUPPLIER_38
M021,464.98,244,15,24,15,10/1/2023,1240,4600,Low,1236,SUPPLIER_19
M250,426.79,157,7,193,41,10/8/2023,700,2480,Low,8854,SUPPLIER_33
M308,309.13,782,4,161,8,9/2/2023,1840,2570,High,5071,SUPPLIER_58
M151,125.9,836,6,53,93,10/16/2023,490,4430,Low,3982,SUPPLIER_16
M145,126.07,599,13,126,24,9/20/2023,670,1920,High,8164,SUPPLIER_44
M182,486.99,807,7,184,47,10/16/2023,630,4560,Medium,8510,SUPPLIER_28
M248,350.91,390,3,63,55,9/30/2023,1150,2520,Low,1392,SUPPLIER_1
M380,246.57,429,6,25,33,,760,3950,High,6298,
M328,454.14,217,9,180,51,9/2/2023,770,3950,Low,3654,SUPPLIER_77
M317,439.65,877,8,198,78,10/30/2023,550,4830,Low,2135,SUPPLIER_12
M310,460.01,434,3,171,96,9/7/2023,910,2260,Low,8101,SUPPLIER_68
M278,175.9,985,3,47,21,9/10/2023,1730,4080,High,9133,SUPPLIER_19
M3a,372.34,85,4,157,99,,1920,4850,Medium,3038,
M429,466.94,968,4,163,66,10/2/2023,1240,2800,Medium,1677,SUPPLIER_41
M397,175.92,931,14,184,36,9/2/2023,330,2070,Medium,1424,SUPPLIER_31
